,CODIGO,NOMBRE FANTASIA,COMUNA,ESTACIONAMIENTO,ES PAR
143,92280,SAN RAFAEL,LO ESPEJO,NO,SI
144,92288,TORITO,LA PINTANA,NO,SI
145,92305,EL FUTURO,LA PINTANA,NO,NO
146,92306,JUAN BARRAZA SEPULVEDA,LO PRADO,NO,SI
147,92313,SOLEY,PEDRO AGUIRRE CERDA,NO,NO
148,92316,EL CLAN DESTINO,CERRILLOS,NO,SI
149,92318,ERBI - SAN JUAN,SAN MIGUEL,NO,SI
150,92331,ERBI - SAN MIGUEL,ESTACION CENTRAL,NO,NO
151,92333,LA PAPA,SAN JOAQUIN,NO,NO
152,92335,MINIMARKET 4 M,LO BARNECHEA,NO,NO
153,92338,MINIMARKET CERRO 18,LA GRANJA,NO,SI
154,92341,VOY Y VUELVO,MACUL,NO,NO
155,92343,TIA MAGGY,CERRILLOS,NO,NO
156,92347,INTERNET R.A.P.,SAN RAMON,NO,NO
157,92349,HAYDEE OLIVERO,LA PINTANA,NO,NO
158,92350,DONDE CARLITOS,LO BARNECHEA,NO,SI
159,92351,KENA FAST SERVICE,LA PINTANA,NO,NO
160,92352,CARLOS RAMIREZ CACERES,HUECHURABA,NO,SI
161,92354,BOTILLERIA LOS PORTENOS S,ESTACION CENTRAL,NO,SI
162,92388,MARTA ELENA SALGADO GONZALEZ,PEÑALOLEN,NO,SI
163,92418,EL AMIGO,CONCHALI,NO,SI
164,92423,BAZAR LA ABUELY,PEÑALOLEN,NO,NO
165,92431,MARIA SANTANDER,PEÑALOLEN,NO,NO
166,92442,FRUTOS DEL PAIS BJ,CONCHALI,NO,SI
167,92443,SANTA BEATRIZ,LAS CONDES,NO,NO
168,92446,PANAMTUR,PEÑALOLEN,NO,SI
169,92458,TEXTIL GRECIA,CONCHALI,NO,SI
170,92462,EL BEBE,PEÑALOLEN,NO,SI
171,92466,L - L,LAS CONDES,NO,SI
172,92468,PUNTO BIP YOLANDA,PEÑALOLEN,NO,SI
173,92471,LA CENTRAL,PEÑALOLEN,NO,NO
174,92477,CANTA GALLO,PEÑALOLEN,NO,NO
175,92484,CHIQUITA,PEÑALOLEN,NO,SI
176,92485,MARCELITA,CONCHALI,NO,NO
177,92487,PAOLITA,PEÑALOLEN,NO,NO
178,92496,DANIA,PEÑALOLEN,NO,SI
179,92500,GANADERA DEL SUR,LAS CONDES,NO,SI
180,92501,PAUL HARRIS,PEÑALOLEN,NO,NO
181,92504,SAN LUIS,PEÑALOLEN,NO,SI
182,92505,LOS VIÑEDOS DEL CON PENA,CONCHALI,NO,NO
183,92516,LA JUANITA,CONCHALI,NO,SI
184,92520,BRUJITAS FIESTAS,LAS CONDES,NO,SI
185,92521,PESCADERIA PUERTO COLON,PEÑALOLEN,NO,NO
186,92522,VERDULERIA,CONCHALI,NO,SI
187,92523,BEATRIZ VILLALOBOS,PEÑALOLEN,NO,NO
188,92525,LA ABUELITA,PEÑALOLEN,NO,NO
189,92530,DON ELIAS,LAS CONDES,NO,SI
190,92531,KIOSCO BIP MANQUEHUE,PEÑALOLEN,NO,NO
191,92532,DONDE JAIME,MACUL,NO,SI
192,92541,ABARROTES LA PLAZA,MACUL,NO,NO
193,92548,L - L,PEÑALOLEN,NO,SI
194,92556,EL VICHITO,CONCHALI,NO,SI
195,92560,ERNA ASEM,PEDRO AGUIRRE CERDA,NO,SI
196,92570,EL RORO,PEÑALOLEN,NO,SI
197,92574,PUELMAPU,RECOLETA,NO,SI
198,92583,LA BUENA CARNE,RENCA,NO,NO
199,92584,ANDRES,LA CISTERNA,NO,SI
200,92622,LILY LA,INDEPENDENCIA,NO,SI
201,92631,MANOLO,INDEPENDENCIA,NO,NO
202,92633,ISA,RECOLETA,NO,NO
203,92637,MINIMARKET NENITA,RECOLETA,NO,NO
204,92647,BOTILLERIA SAN ESTEBAN,RENCA,NO,NO
205,92648,ZEUS,LA CISTERNA,NO,SI
206,92651,LEAL,RENCA,NO,NO
207,92652,PUNTO BIP DONDE JORGE,RECOLETA,NO,SI
208,92653,EL TREBOL,RENCA,NO,NO
209,92655,BRASIL,LA CISTERNA,NO,NO
210,92659,CASSETERIA CENTER,RENCA,NO,NO
211,92661,RIDENVAN,INDEPENDENCIA,NO,NO
212,92662,LA ESQUINA,RECOLETA,NO,SI
213,92673,RAUL Y XIMENA,RECOLETA,NO,NO
214,92680,SANTA ELVIRA,LA CISTERNA,NO,SI
215,92686,D LA MARI,INDEPENDENCIA,NO,SI
216,92693,ROSA FARIAS,RENCA,NO,NO
217,92707,EL ESFUERZO,RENCA,NO,NO
218,92711,EL CHAMACO,RENCA,NO,NO
219,92712,ALMACEN MAR CRIS,RECOLETA,NO,SI
220,92721,LAS MILBES,RENCA,NO,NO
221,92724,LA ESTRELLITA,SAN MIGUEL,NO,SI
222,92728,RENE SANCHEZ,CONCHALI,NO,SI
223,92745,DONDE LA ROSITA,CONCHALI,NO,NO
224,92777,LA ESQUINA DEL PAISA,SAN BERNARDO,NO,NO
225,92817,ALBIN FREDDY,PROVIDENCIA,NO,NO
226,92824,RIGOLETTO,EL BOSQUE,NO,SI
227,92832,LOS MAQUIS,EL BOSQUE,NO,SI
228,92835,PACOVI,EL BOSQUE,NO,NO
229,92839,MAKAI,EL BOSQUE,NO,NO
230,92840,DONDE MIS QUERIDOS VIEJOS,EL BOSQUE,NO,SI
